"annee_naissance","fk_lieu","lieu_naissance","geo_coord"
1854,http://www.wikidata.org/entity/Q241575,Divonne-les-Bains,Point(6.142777777 46.356666666)
1854,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
1854,http://www.wikidata.org/entity/Q2891347,Batignolles-Monceau,Point(2.3153 48.8867)
1854,http://www.wikidata.org/entity/Q36600,The Hague,Point(4.31 52.08)
1854,http://www.wikidata.org/entity/Q90,Paris,Point(2.352222222 48.856666666)
1854,http://www.wikidata.org/entity/Q239,City of Brussels,Point(4.351666666 50.846666666)
1854,http://www.wikidata.org/entity/Q1228829,Portsea Island,Point(-1.07 50.8025)
1854,http://www.wikidata.org/entity/Q1932807,Kemerton,Point(-2.0785 52.0328)
1854,http://www.wikidata.org/entity/Q1932807,Kemerton,Point(-2.07703 52.03603)
1854,http://www.wikidata.org/entity/Q270704,Třebíč,Point(15.881675935 49.2149674)
1854,http://www.wikidata.org/entity/Q1874,Odesa,Point(30.73262 46.47747)
1854,http://www.wikidata.org/entity/Q122607,Bow,Point(-0.0288 51.5298)
1854,http://www.wikidata.org/entity/Q776556,Ryde,Point(-1.1618 50.7271)
1854,http://www.wikidata.org/entity/Q749,Groningen,Point(6.5675 53.218888888)
1854,http://www.wikidata.org/entity/Q2421009,Donaghadee,Point(-5.53544 54.6392)
1854,http://www.wikidata.org/entity/Q52101,Middelburg,Point(3.613611111 51.499722222)
1854,http://www.wikidata.org/entity/Q26421,Dordrecht,Point(4.678333333 51.795833333)
1854,http://www.wikidata.org/entity/Q188743,Lisieux,Point(0.225555555 49.145555555)
1854,http://www.wikidata.org/entity/Q3936400,Beder Parish,Point(10.21666667 56.05972222)
1854,http://www.wikidata.org/entity/Q2253750,'t Zandt,Point(6.7744 53.3658)
1854,http://www.wikidata.org/entity/Q1799,Wrocław,Point(17.0325 51.11)
1854,http://www.wikidata.org/entity/Q73817,Winschoten,Point(7.033333333 53.15)
