item,itemLabel,year
http://www.wikidata.org/entity/Q16594765,Emmy Christine Evald,1857
http://www.wikidata.org/entity/Q17119895,Aadel Lampe,1857
http://www.wikidata.org/entity/Q18758670,Olga Ossani,1857
http://www.wikidata.org/entity/Q22666128,Bertha Nordenson,1857
http://www.wikidata.org/entity/Q26208095,Maria Bezobrazova,1857
http://www.wikidata.org/entity/Q98382293,Virginia Brunner,1857
http://www.wikidata.org/entity/Q211519,Emmeline Pankhurst,1858
http://www.wikidata.org/entity/Q236599,Ethel Smyth,1858
http://www.wikidata.org/entity/Q2418894,Hilda Ram,1858
http://www.wikidata.org/entity/Q1897401,Marie Lang,1858
http://www.wikidata.org/entity/Q81370330,Brita Bjørgum,1858
http://www.wikidata.org/entity/Q104376945,Anna Ptáčková,1858
http://www.wikidata.org/entity/Q3723142,Elisa Agnini Lollini,1858
http://www.wikidata.org/entity/Q4883360,Bella Guerin,1858
http://www.wikidata.org/entity/Q5056489,Cecilie Thoresen Krog,1858
http://www.wikidata.org/entity/Q50310008,Anyentyuwe,1858
http://www.wikidata.org/entity/Q6759769,Margaret Nevinson,1858
http://www.wikidata.org/entity/Q56248900,Clara Jaschke,1858
http://www.wikidata.org/entity/Q60642901,Charlotte Eilersgaard,1858
http://www.wikidata.org/entity/Q15996424,Blanche Edwards-Pilliet,1858
http://www.wikidata.org/entity/Q16430145,Katrín Magnússon,1858
http://www.wikidata.org/entity/Q21539214,Ida Mary McAulay,1858
http://www.wikidata.org/entity/Q22955277,Catherina Geertruida Doijer,1858
http://www.wikidata.org/entity/Q29044080,Aletta Lorentz-Kaiser,1858
http://www.wikidata.org/entity/Q522167,Fanny Bullock Workman,1859
http://www.wikidata.org/entity/Q61178,Bertha Pappenheim,1859
http://www.wikidata.org/entity/Q270207,Carrie Chapman Catt,1859
http://www.wikidata.org/entity/Q1696989,Johanna Naber,1859
http://www.wikidata.org/entity/Q104591151,Sofie Magelssen Groth,1859
http://www.wikidata.org/entity/Q33110056,Marie Léopold-Lacour,1859
http://www.wikidata.org/entity/Q41793283,Augustine De Rothmaler,1859
http://www.wikidata.org/entity/Q5361116,Eline Hansen,1859
http://www.wikidata.org/entity/Q55849968,Helena Forsmann,1859
http://www.wikidata.org/entity/Q11813793,Paulina Kuczalska-Reinschmit,1859
http://www.wikidata.org/entity/Q60028774,Betsy Kerlen,1859
http://www.wikidata.org/entity/Q62080629,Johanne Langballe,1859
http://www.wikidata.org/entity/Q62081191,Marie Steffensen,1859
http://www.wikidata.org/entity/Q17635962,Olympe Gevin-Cassal,1859
http://www.wikidata.org/entity/Q18655261,Jacoba Mossel,1859
http://www.wikidata.org/entity/Q529477,Margaret Eliza Maltby,1860
http://www.wikidata.org/entity/Q1095223,Clara Müller-Jahnke,1860
http://www.wikidata.org/entity/Q85253,Margarethe Lenore Selenka,1860
http://www.wikidata.org/entity/Q98132,Sidonie Werner,1860
http://www.wikidata.org/entity/Q180989,Jane Addams,1860
http://www.wikidata.org/entity/Q287752,Charlotte Perkins Gilman,1860
http://www.wikidata.org/entity/Q72803623,Anna Auerbach,1860
http://www.wikidata.org/entity/Q106860531,Fanny Cole,1860
http://www.wikidata.org/entity/Q51882929,Mercedes González Tola,1860
http://www.wikidata.org/entity/Q110777081,Cor van Kuffeler,1860
